,MGNX
Price/Earnings (TTM),
Price/Sales (TTM),3.91372
Price/Book (MRQ),2.95919
Price/Cash Flow (TTM),
5yr Low,2.13
5yr High,36.48
5yr Avg Return,-0.05900000000000001
EPS Growth 5yr,
Revenue Growth 5yr,-0.0336004
Dividend Growth 5yr,
Short Int Current Month,4266434.0
Short Int Prev Month,5065570.0
Short Int Pct of Float,0.0713289
Days to Cover,3.90306
Float,59.87868
Shares Outstanding,61.47522
Institutions Holding Shares,186.0
% Held by Institutions,0.9375490000000001
FCF Growth 5yr,0.11211383525075036
