,RARE
% Above Low,0.0671
% Held by Institutions,0.9559000000000001
52-Wk Range,['33.36 - 88.22']
Annual Dividend $,
Annual Dividend %,
Ask,35.63
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,1.2
Bid,35.58
Bid Size,200.0
Day Change $,-0.12
Day Change %,-0.0034000000000000002
Day High,35.69
Day Low,35.36
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-9.74
Ex-dividend Date,No dividend
Historical Volatility,0.589
Last (size),100.0
Last (time),12:18p ET 11/28/22
Market Cap,2.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,35.72
Price,35.6
Shares Outstanding,70.1M
Short Interest,0.0454
Today's Open,35.69
Volume Past Day,(Light)
