,RARE
Price/Earnings (TTM),
Price/Sales (TTM),7.29293
Price/Book (MRQ),5.33937
Price/Cash Flow (TTM),
5yr Low,31.99
5yr High,179.65
5yr Avg Return,0.19705000000000006
EPS Growth 5yr,
Revenue Growth 5yr,3.8349439999999997
Dividend Growth 5yr,
Short Int Current Month,3021709.0
Short Int Prev Month,2961806.0
Short Int Pct of Float,0.0453775
Days to Cover,3.61723
Float,66.6534
Shares Outstanding,70.10565
Institutions Holding Shares,325.0
% Held by Institutions,0.9559310000000001
FCF Growth 5yr,0.15234403092412804
