,ROK
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,25.0
Growth 1yr Low Est,0.11891891891891881
Growth 1yr High Est,0.171875
Growth 1yr Consensus Est,0.1453969594594594
Growth 2yr Low Est,0.08844496670583624
Growth 2yr High Est,0.1548263888888889
Growth 2yr Consensus Est,0.12163567779736256
Growth 5yr Low Est,0.11503373956519936
Growth 5yr High Est,0.12892552901723237
Growth 5yr Consensus Est,0.12197963429121586
Growth 5yr Actual/Est,0.11543247250191457
Growth 3yr Historic,0.0585568139139272
