,ROK
% Above Low,0.3803
% Held by Institutions,0.7933
52-Wk Range,['190.08 - 354.99']
Annual Dividend $,4.72
Annual Dividend %,0.0178
Ask,262.47
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,262.2
Bid Size,100.0
Day Change $,-2.49
Day Change %,-0.009399999999999999
Day High,264.96
Day Low,261.58
Dividend Pay Date,2022-12-12 00:00:00
"EPS (TTM, GAAP)",7.97
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.37200000000000005
Last (size),100.0
Last (time),1:06p ET 11/28/22
Market Cap,30.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",33.23
Prev Close,264.86
Price,262.37
Shares Outstanding,114.8M
Short Interest,0.017
Today's Open,261.75
Volume Past Day,(Light)
