,ROK
Price/Earnings (TTM),33.22703
Price/Sales (TTM),3.91959
Price/Book (MRQ),11.19455
Price/Cash Flow (TTM),26.26738
5yr Low,115.38
5yr High,354.99
5yr Avg Return,0.08153333333333335
EPS Growth 5yr,0.046331
Revenue Growth 5yr,0.0422048
Dividend Growth 5yr,0.08063959999999999
Short Int Current Month,1948150.0
Short Int Prev Month,2184576.0
Short Int Pct of Float,0.016998899999999997
Days to Cover,1.95942
Float,114.0724
Shares Outstanding,114.8441
Institutions Holding Shares,1345.0
% Held by Institutions,0.79328
FCF Growth 5yr,-36.27794574619971
