,Earnings Result,Actual,Estimate,Growth,Low Estimate,Low Growth Est,High Estimate,High Growth Est,Consensus Estimate,Actual/Estimate,A/E Growth,Consensus Growth Est
Year ending 12/2019,Neutral,2.9,,,2.88,,2.96,,2.92,2.9,,
Year ending 12/2020,Positive Surprise,1.84,,-0.3655172413793103,,0.0,,0.0,1.7,1.84,-0.3655172413793103,0.0
Year ending 12/2021,Neutral,0.56,,-0.6956521739130435,0.53,-0.8159722222222222,0.55,-0.8141891891891891,0.54,0.56,-0.6956521739130435,-0.8150807057057057
Year ending 12/2022,Neutral,,2.07,0.0,2.03,2.8301886792452824,2.1,2.818181818181818,2.07,2.07,2.6964285714285707,2.82418524871355
Year ending 12/2023,Neutral,,3.56,0.0,3.4,0.6748768472906406,3.75,0.7857142857142856,3.56,3.56,0.7198067632850242,0.7302955665024631
