,KEX
Price/Earnings (TTM),44.20817
Price/Sales (TTM),1.59165
Price/Book (MRQ),1.41658
Price/Cash Flow (TTM),14.1643
5yr Low,32.76
5yr High,94.05
5yr Avg Return,0.05078333333333333
EPS Growth 5yr,
Revenue Growth 5yr,0.048768900000000004
Dividend Growth 5yr,
Short Int Current Month,1594313.0
Short Int Prev Month,1895997.0
Short Int Pct of Float,0.026917800000000002
Days to Cover,3.90193
Float,59.25578
Shares Outstanding,59.896
Institutions Holding Shares,341.0
% Held by Institutions,0.9557470000000001
FCF Growth 5yr,-2.119510138940694
