,KEX
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,7.0
Growth 1yr Low Est,2.8301886792452824
Growth 1yr High Est,2.818181818181818
Growth 1yr Consensus Est,2.82418524871355
Growth 2yr Low Est,1.7525327632679615
Growth 2yr High Est,1.8019480519480517
Growth 2yr Consensus Est,1.7772404076080066
Growth 5yr Low Est,0.6722733260784252
Growth 5yr High Est,0.6974267286767286
Growth 5yr Consensus Est,0.6848500273775769
Growth 5yr Actual/Est,0.5887664798553103
Growth 3yr Historic,-0.26529235382308847
