,KEX
% Below High,0.0635
% Held by Institutions,0.9556999999999999
52-Wk Range,['50.58 - 75.08']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.3
Bid,69.86
Bid Size,
Closing Price,70.31
Day Change $,1.26
Day Change %,0.0182
Day High,70.74
Day Low,68.78
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.59
Ex-dividend Date,No dividend
Historical Volatility,0.36600000000000005
Last (size),718.0
Last (time),5:00p ET 11/25/22
Market Cap,4.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",44.21
Prev Close,69.05
Shares Outstanding,59.9M
Short Interest,0.0269
Today's Open,68.78
Volume,259206.0
Volume 10-day Avg,403490.0
Volume Past Day,(Light)
