,ANGO
% Above Low,0.0637
% Held by Institutions,0.9495999999999999
52-Wk Range,['12.87 - 30.00']
Annual Dividend $,
Annual Dividend %,
Ask,15.29
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.7
Bid,5.46
Bid Size,200.0
Closing Price,13.69
Day Change $,0.08
Day Change %,0.0059
Day High,13.8
Day Low,13.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.83
Ex-dividend Date,No dividend
Historical Volatility,0.519
Last (size),18.0
Last (time),1:00p ET 11/25/22
Market Cap,535.4M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,13.61
Shares Outstanding,39.1M
Short Interest,0.0258
Today's Open,13.51
Volume,88077.0
Volume 10-day Avg,506052.0
Volume Past Day,(Light)
