,ANGO
Price/Earnings (TTM),
Price/Sales (TTM),1.66898
Price/Book (MRQ),1.30531
Price/Cash Flow (TTM),
5yr Low,7.48
5yr High,32.0
5yr Avg Return,0.02759999999999998
EPS Growth 5yr,
Revenue Growth 5yr,0.0322694
Dividend Growth 5yr,
Short Int Current Month,958691.0
Short Int Prev Month,1109685.0
Short Int Pct of Float,0.0258194
Days to Cover,1.66859
Float,37.1406
Shares Outstanding,39.10775
Institutions Holding Shares,215.0
% Held by Institutions,0.94959
FCF Growth 5yr,0.6536736780663567
