,ANGO
Next Earnings Announcement,2023-01-05 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,5.0
Growth 1yr High Est,inf
Growth 1yr Consensus Est,inf
Growth 2yr Low Est,1.1666666666666665
Growth 2yr High Est,inf
Growth 2yr Consensus Est,inf
Growth 5yr Low Est,0.1875
Growth 5yr High Est,inf
Growth 5yr Consensus Est,inf
Growth 5yr Actual/Est,-inf
Growth 3yr Historic,-0.7222222222222222
