,TCS
% Above Low,0.08960000000000001
% Held by Institutions,0.8020999999999999
52-Wk Range,['4.24 - 12.48']
Annual Dividend $,
Annual Dividend %,
Ask,4.91
Ask Size,2300.0
B/A Ratio,0.08695652173913043
B/A Size,200x2300
Beta,1.4
Bid,4.5
Bid Size,200.0
Change Since Close,0.01| |(0.22%)
Closing Price,4.62
Day Change $,-0.09
Day Change %,-0.0191
Day High,4.8
Day Low,4.6
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.25
Ex-dividend Date,No dividend
Historical Volatility,0.608
Last (size),255.0
Last (time),4:00p ET 11/28/22
Last Trade,4.62
Market Cap,233.9M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",3.76
Prev Close,4.71
Shares Outstanding,50.6M
Short Interest,0.046900000000000004
Today's Open,4.64
Volume,287846.0
Volume 10-day Avg,598080.0
Volume Past Day,(Light)
