,TCS
Price/Earnings (TTM),3.75547
Price/Sales (TTM),0.21519
Price/Book (MRQ),0.5307
Price/Cash Flow (TTM),2.40442
5yr Low,1.8
5yr High,19.31
5yr Avg Return,0.0796
EPS Growth 5yr,0.3915239
Revenue Growth 5yr,0.0593941
Dividend Growth 5yr,
Short Int Current Month,1569838.0
Short Int Prev Month,1695280.0
Short Int Pct of Float,0.046927
Days to Cover,2.39191
Float,33.45276
Shares Outstanding,50.62866
Institutions Holding Shares,165.0
% Held by Institutions,0.802069
FCF Growth 5yr,-2.372445751467794
