,AVO
Price/Earnings (TTM),48.07749
Price/Sales (TTM),1.11112
Price/Book (MRQ),2.13563
Price/Cash Flow (TTM),24.33989
5yr Low,11.04
5yr High,22.93
5yr Avg Return,0.10573333333333335
Short Int Current Month,552535.0
Short Int Prev Month,755032.0
Short Int Pct of Float,0.0134971
Days to Cover,4.5229
Float,40.93718
Shares Outstanding,70.6642
Institutions Holding Shares,143.0
% Held by Institutions,0.226985
FCF Growth 5yr,0.3672101187590997
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
