,AVO
% Below High,0.1447
% Held by Institutions,0.22699999999999998
52-Wk Range,['11.04 - 19.21']
Annual Dividend $,
Annual Dividend %,
Ask,16.46
Ask Size,100.0
B/A Ratio,13.0
B/A Size,1300x100
Beta,
Bid,6.83
Bid Size,1300.0
Closing Price,16.43
Day Change $,-0.04
Day Change %,-0.0024
Day High,16.5
Day Low,16.35
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.34
Ex-dividend Date,No dividend
Historical Volatility,0.334
Last (size),19.0
Last (time),1:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",48.08
Prev Close,16.47
Shares Outstanding,70.7M
Short Interest,0.013500000000000002
Today's Open,16.43
Volume,53511.0
Volume 10-day Avg,109460.0
Volume Past Day,(Light)
