,RADI
% Above Low,0.3543
% Held by Institutions,0.9370999999999999
52-Wk Range,['7.97 - 18.32']
Annual Dividend $,
Annual Dividend %,
Ask,10.81
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,
Bid,10.79
Bid Size,200.0
Day Change $,-0.166
Day Change %,-0.0151
Day High,11.06
Day Low,10.7
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.21
Ex-dividend Date,No dividend
Historical Volatility,0.48200000000000004
Last (size),1.0
Last (time),12:15p ET 11/28/22
Market Cap,1.0B
"P/E Ratio (TTM, GAAP)",
Prev Close,10.96
Price,10.79
Shares Outstanding,95.3M
Short Interest,0.07490000000000001
Today's Open,11.03
Volume Past Day,(Light)
