,AVGO
Price/Earnings (TTM),23.08242
Price/Sales (TTM),7.10018
Price/Book (MRQ),10.2804
Price/Cash Flow (TTM),14.9012
5yr Low,155.67
5yr High,677.76
5yr Avg Return,0.13861666666666664
EPS Growth 5yr,
Revenue Growth 5yr,0.1569934
Dividend Growth 5yr,0.49317999999999995
Short Int Current Month,5897222.0
Short Int Prev Month,4995342.0
Short Int Pct of Float,0.0142034
Days to Cover,2.54267
Float,414.9355
Shares Outstanding,424.4751
Institutions Holding Shares,2618.0
% Held by Institutions,0.776845
FCF Growth 5yr,0.35119867075064026
