,HZNP
% Above Low,0.35340000000000005
% Held by Institutions,0.9466
52-Wk Range,['57.84 - 117.49']
Annual Dividend $,
Annual Dividend %,
Ask,82.0
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.1
Bid,75.0
Bid Size,200.0
Closing Price,78.28
Day Change $,0.75
Day Change %,0.0097
Day High,78.45
Day Low,77.56
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.24
Ex-dividend Date,No dividend
Historical Volatility,0.42700000000000005
Last (size),7.0
Last (time),1:00p ET 11/25/22
Market Cap,17.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",24.18
Prev Close,77.53
Shares Outstanding,226.6M
Short Interest,0.031200000000000002
Today's Open,77.85
Volume,534719.0
Volume 10-day Avg,1658583.0
Volume Past Day,(Light)
