,HZNP
Price/Earnings (TTM),24.18124
Price/Sales (TTM),4.65235
Price/Book (MRQ),3.6458
Price/Cash Flow (TTM),15.44598
5yr Low,12.55
5yr High,120.54
5yr Avg Return,0.42050000000000004
EPS Growth 5yr,
Revenue Growth 5yr,0.2688185
Dividend Growth 5yr,
Short Int Current Month,6988148.0
Short Int Prev Month,7516546.0
Short Int Pct of Float,0.0312045
Days to Cover,2.15411
Float,223.9644
Shares Outstanding,226.6215
Institutions Holding Shares,799.0
% Held by Institutions,0.9465749999999999
FCF Growth 5yr,0.5287479821203888
