,HZNP
Next Earnings Announcement,2023-03-01 00:00:00
Growth Analysts,9.0
Growth 1yr Low Est,0.004555808656036442
Growth 1yr High Est,-0.02191235059760943
Growth 1yr Consensus Est,-0.008678270970786495
Growth 2yr Low Est,0.007946838568380965
Growth 2yr High Est,0.056253600668608794
Growth 2yr Consensus Est,0.03210021961849488
Growth 5yr Low Est,0.3671019109043021
Growth 5yr High Est,0.4217165439240479
Growth 5yr Consensus Est,0.39440922741417506
Growth 5yr Actual/Est,0.32966899116822346
Growth 3yr Historic,0.297680412371134
