,ALEC
% Above Low,0.1322
% Held by Institutions,0.7965000000000001
52-Wk Range,['6.85 - 24.01']
Annual Dividend $,
Annual Dividend %,
Ask,11.0
Ask Size,1400.0
B/A Ratio,0.5
B/A Size,700x1400
Beta,0.9
Bid,6.41
Bid Size,700.0
Closing Price,7.75
Day Change $,-0.02
Day Change %,-0.0026
Day High,7.92
Day Low,7.71
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.63
Ex-dividend Date,No dividend
Historical Volatility,0.737
Last (size),3.0
Last (time),1:00p ET 11/25/22
Market Cap,640.9M
"P/E Ratio (TTM, GAAP)",
Prev Close,7.77
Shares Outstanding,82.7M
Short Interest,0.069
Today's Open,7.79
Volume,84384.0
Volume 10-day Avg,582083.0
Volume Past Day,(Light)
