,ALEC
Price/Earnings (TTM),
Price/Sales (TTM),4.81289
Price/Book (MRQ),2.53229
Price/Cash Flow (TTM),
5yr Low,6.85
5yr High,43.32
5yr Avg Return,-0.11899999999999998
EPS Growth 5yr,
Revenue Growth 5yr,2.46267
Dividend Growth 5yr,
Short Int Current Month,5052151.0
Short Int Prev Month,4995279.0
Short Int Pct of Float,0.0690355
Days to Cover,7.65155
Float,73.2896
Shares Outstanding,82.70154
Institutions Holding Shares,240.0
% Held by Institutions,0.7964530000000001
FCF Growth 5yr,-0.5488570809472523
