,PCRX
% Above Low,0.0765
% Held by Institutions,1.1091
52-Wk Range,['46.03 - 82.16']
Annual Dividend $,
Annual Dividend %,
Ask,49.61
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.7
Bid,49.48
Bid Size,100.0
Day Change $,-0.14
Day Change %,-0.0028000000000000004
Day High,49.82
Day Low,49.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.4
Ex-dividend Date,No dividend
Historical Volatility,0.375
Last (size),7.0
Last (time),10:16a ET 11/28/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",125.6
Prev Close,49.69
Price,49.55
Shares Outstanding,45.9M
Short Interest,0.1217
Today's Open,49.11
Volume Past Day,(Light)
