,PCRX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,0.4831460674157304
Growth 1yr High Est,0.39393939393939403
Growth 1yr Consensus Est,0.4385427306775622
Growth 2yr Low Est,0.16392151855635
Growth 2yr High Est,0.4112554112554112
Growth 2yr Consensus Est,0.28758846490588064
Growth 5yr Low Est,0.1092810123709
Growth 5yr High Est,0.2741702741702741
Growth 5yr Consensus Est,0.19172564327058708
Growth 5yr Actual/Est,0.2584396062154871
Growth 3yr Historic,0.17020483919039753
