,PCRX
Price/Earnings (TTM),125.6003
Price/Sales (TTM),3.48573
Price/Book (MRQ),2.95927
Price/Cash Flow (TTM),23.98713
5yr Low,26.95
5yr High,82.16
5yr Avg Return,0.027866666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.1440012
Dividend Growth 5yr,
Short Int Current Month,5507918.0
Short Int Prev Month,5466278.0
Short Int Pct of Float,0.1216578
Days to Cover,11.46656
Float,45.35457
Shares Outstanding,45.88209
Institutions Holding Shares,360.0
% Held by Institutions,1.109094
FCF Growth 5yr,0.32712392812966473
