,HOMB
Price/Earnings (TTM),17.59567
Price/Sales (TTM),6.24818
Price/Book (MRQ),1.50508
Price/Cash Flow (TTM),17.84299
5yr Low,9.71
5yr High,29.76
5yr Avg Return,0.028099999999999993
EPS Growth 5yr,0.089789
Revenue Growth 5yr,0.0744731
Dividend Growth 5yr,0.1033302
Short Int Current Month,6523489.0
Short Int Prev Month,6736243.0
Short Int Pct of Float,0.0343754
Days to Cover,6.53263
Float,189.6447
Shares Outstanding,203.9712
Institutions Holding Shares,330.0
% Held by Institutions,0.612441
FCF Growth 5yr,0.3644721312386902
