,HOMB
% Below High,0.026699999999999998
% Held by Institutions,0.6124
52-Wk Range,['19.83 - 26.20']
Annual Dividend $,0.66
Annual Dividend %,0.0259
Ask,26.67
Ask Size,100.0
B/A Ratio,4.0
B/A Size,400x100
Beta,1.2
Bid,22.31
Bid Size,400.0
Closing Price,25.5
Day Change $,0.32
Day Change %,0.0127
Day High,25.55
Day Low,25.22
Dividend Pay Date,2022-12-07 00:00:00
"EPS (TTM, GAAP)",1.45
Ex-dividend,2022-11-15 00:00:00
Ex-dividend Date,11/15/22
Historical Volatility,0.298
Last (size),90.0
Last (time),5:00p ET 11/25/22
Market Cap,5.2B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.6
Prev Close,25.18
Shares Outstanding,204.0M
Short Interest,0.0344
Today's Open,25.4
Volume,200847.0
Volume 10-day Avg,810728.0
Volume Past Day,(Light)
