,HOMB
Next Earnings Announcement,2023-01-19 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,-0.19999999999999996
Growth 1yr High Est,-0.17098445595854916
Growth 1yr Consensus Est,-0.18549222797927456
Growth 2yr Low Est,0.09736842105263166
Growth 2yr High Est,0.11763277202072542
Growth 2yr Consensus Est,0.10750059653667854
Growth 5yr Low Est,0.07809597523219819
Growth 5yr High Est,0.0893396418243162
Growth 5yr Consensus Est,0.08371780852825719
Growth 5yr Actual/Est,0.11453322515237777
Growth 3yr Historic,0.06093819475322362
