,IDYA
% Below High,0.2824
% Held by Institutions,0.9436
52-Wk Range,['8.14 - 24.50']
Annual Dividend $,
Annual Dividend %,
Ask,18.98
Ask Size,900.0
B/A Ratio,0.1111111111111111
B/A Size,100x900
Beta,1.0
Bid,16.81
Bid Size,100.0
Closing Price,17.58
Day Change $,0.1
Day Change %,0.005699999999999999
Day High,17.84
Day Low,17.21
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.37
Ex-dividend Date,No dividend
Historical Volatility,0.8170000000000001
Last (size),297.0
Last (time),1:00p ET 11/25/22
Market Cap,845.8M
"P/E Ratio (TTM, GAAP)",
Prev Close,17.48
Shares Outstanding,48.1M
Short Interest,0.1035
Today's Open,17.34
Volume,176065.0
Volume 10-day Avg,552799.0
Volume Past Day,(Light)
