,DK
Next Earnings Announcement,2023-02-22 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,0.720689655172414
Growth 1yr High Est,0.9133333333333331
Growth 1yr Consensus Est,0.8170114942528736
Growth 2yr Low Est,0.08880174141386232
Growth 2yr High Est,0.565842044134727
Growth 2yr Consensus Est,0.3273218927742947
Growth 5yr Low Est,0.04440087070693116
Growth 5yr High Est,0.2829210220673635
Growth 5yr Consensus Est,0.16366094638714734
Growth 5yr Actual/Est,-1.8500594797772398
Growth 3yr Historic,-0.965396613190731
