,DK
% Below High,0.0471
% Held by Institutions,0.9740000000000001
52-Wk Range,['14.07 - 35.45']
Annual Dividend $,0.84
Annual Dividend %,0.024900000000000002
Ask,45.0
Ask Size,600.0
B/A Ratio,1.6666666666666667
B/A Size,1000x600
Beta,1.4
Bid,33.78
Bid Size,1000.0
Closing Price,33.78
Day Change $,-0.05
Day Change %,-0.0015
Day High,34.71
Day Low,33.71
Dividend Pay Date,2022-12-02 00:00:00
"EPS (TTM, GAAP)",4.68
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.628
Last (size),33.0
Last (time),5:00p ET 11/25/22
Market Cap,2.4B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",7.22
Prev Close,33.83
Shares Outstanding,69.7M
Short Interest,0.0858
Today's Open,33.82
Volume,505411.0
Volume 10-day Avg,1201944.0
Volume Past Day,(Light)
