,DK
Price/Earnings (TTM),7.22412
Price/Sales (TTM),0.12473
Price/Book (MRQ),2.02782
Price/Cash Flow (TTM),3.65106
5yr Low,7.79
5yr High,61.57
5yr Avg Return,0.11349999999999999
EPS Growth 5yr,
Revenue Growth 5yr,0.20461649999999998
Dividend Growth 5yr,
Short Int Current Month,5863800.0
Short Int Prev Month,7119918.0
Short Int Pct of Float,0.0857957
Days to Cover,3.70237
Float,68.33154
Shares Outstanding,69.69232
Institutions Holding Shares,298.0
% Held by Institutions,0.9740340000000001
FCF Growth 5yr,-32.920489911399
