,AFL
Price/Earnings (TTM),9.25593
Price/Sales (TTM),2.15404
Price/Book (MRQ),1.87274
Price/Cash Flow (TTM),
5yr Low,23.07
5yr High,72.54
5yr Avg Return,0.10475
EPS Growth 5yr,0.1475193
Revenue Growth 5yr,-0.0047799999999999995
Dividend Growth 5yr,0.09723380000000001
Short Int Current Month,9320706.0
Short Int Prev Month,9511198.0
Short Int Pct of Float,0.0165597
Days to Cover,2.87332
Float,563.1813
Shares Outstanding,621.7886
Institutions Holding Shares,1489.0
% Held by Institutions,0.566406
FCF Growth 5yr,
