,AFL
Next Earnings Announcement,2023-02-01 00:00:00
Growth Analysts,13.0
Growth 1yr Low Est,-0.072072072072072
Growth 1yr High Est,-0.11853088480801333
Growth 1yr Consensus Est,-0.09530147844004266
Growth 2yr Low Est,-0.031181667103997168
Growth 2yr High Est,-0.014757866646430973
Growth 2yr Consensus Est,-0.02296976687521407
Growth 5yr Low Est,0.047318124693070396
Growth 5yr High Est,0.07314239690534685
Growth 5yr Consensus Est,0.060230260799208624
Growth 5yr Actual/Est,0.05923224507778807
Growth 3yr Historic,0.07867444056960188
