,AFL
% Below High,0.0028000000000000004
% Held by Institutions,0.5664
52-Wk Range,['52.07 - 72.70']
Annual Dividend $,1.68
Annual Dividend %,0.0232
Ask,72.82
Ask Size,400.0
B/A Ratio,0.5
B/A Size,200x400
Beta,0.9
Bid,72.55
Bid Size,200.0
Closing Price,72.5
Day Change $,0.5
Day Change %,0.0069
Day High,72.7
Day Low,72.1
Dividend Pay Date,2023-03-01 00:00:00
"EPS (TTM, GAAP)",7.83
Ex-dividend,2023-02-14 00:00:00
Ex-dividend Date,02/14/23
Historical Volatility,0.24300000000000002
Last (size),21.0
Last (time),5:00p ET 11/25/22
Market Cap,45.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",9.26
Prev Close,72.0
Shares Outstanding,621.8M
Short Interest,0.0166
Today's Open,72.19
Volume,1048083.0
Volume 10-day Avg,2808733.0
Volume Past Day,(Light)
