,WCC
% Below High,0.1567
% Held by Institutions,0.9451
52-Wk Range,['99.00 - 147.05']
Annual Dividend $,
Annual Dividend %,
Ask,147.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.0
Bid,98.41
Bid Size,100.0
Closing Price,124.01
Day Change $,-3.79
Day Change %,-0.0297
Day High,127.07
Day Low,123.43
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",14.5
Ex-dividend Date,No dividend
Historical Volatility,0.49600000000000005
Last (size),1.0
Last (time),7:00p ET 11/28/22
Market Cap,6.3B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",8.82
Prev Close,127.8
Shares Outstanding,50.8M
Short Interest,0.0366
Today's Open,126.04
Volume,286572.0
Volume 10-day Avg,454942.0
Volume Past Day,(Light)
