,SNPS
Price/Earnings (TTM),50.50016
Price/Sales (TTM),10.27633
Price/Book (MRQ),9.08191
Price/Cash Flow (TTM),40.68744
5yr Low,79.14
5yr High,391.17
5yr Avg Return,0.2975833333333333
EPS Growth 5yr,0.2279338
Revenue Growth 5yr,0.11656140000000001
Dividend Growth 5yr,
Short Int Current Month,1950713.0
Short Int Prev Month,1668009.0
Short Int Pct of Float,0.012834000000000002
Days to Cover,1.99288
Float,152.017
Shares Outstanding,152.9113
Institutions Holding Shares,1306.0
% Held by Institutions,0.907436
FCF Growth 5yr,1.9903371932285399
