,STE
Next Earnings Announcement,2023-02-07 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.06463878326996197
Growth 1yr High Est,0.06382978723404253
Growth 1yr Consensus Est,0.06423428525200225
Growth 2yr Low Est,0.05136701068260008
Growth 2yr High Est,0.08779724655819765
Growth 2yr Consensus Est,0.06958212862039886
Growth 5yr Low Est,0.13062386899534845
Growth 5yr High Est,0.14104307465732935
Growth 5yr Consensus Est,0.1358334718263389
Growth 5yr Actual/Est,0.1345113491840667
Growth 3yr Historic,0.09440052530547033
