,STE
% Above Low,0.1177
% Held by Institutions,0.9366
52-Wk Range,['159.21 - 255.93']
Annual Dividend $,1.88
Annual Dividend %,0.0104
Ask,178.02
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,0.8
Bid,177.89
Bid Size,100.0
Day Change $,-2.63
Day Change %,-0.014499999999999999
Day High,180.85
Day Low,177.72
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",-0.11
Ex-dividend,2022-11-21 00:00:00
Ex-dividend Date,11/21/22
Historical Volatility,0.324
Last (size),3.0
Last (time),3:25p ET 11/28/22
Market Cap,17.8B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,180.58
Price,177.96
Shares Outstanding,99.8M
Short Interest,0.0184
Today's Open,179.18
Volume Past Day,(Light)
