,STE
Price/Earnings (TTM),
Price/Sales (TTM),3.77377
Price/Book (MRQ),3.10824
Price/Cash Flow (TTM),29.31758
5yr Low,82.88
5yr High,255.93
5yr Avg Return,0.14906666666666668
EPS Growth 5yr,0.1419519
Revenue Growth 5yr,0.11904949999999999
Dividend Growth 5yr,0.09167170000000001
Short Int Current Month,1831801.0
Short Int Prev Month,1809241.0
Short Int Pct of Float,0.0184082
Days to Cover,2.75472
Float,99.526
Shares Outstanding,99.82295
Institutions Holding Shares,929.0
% Held by Institutions,0.936557
FCF Growth 5yr,-0.06633829471623416
