,LFG
% Below High,0.0088
% Held by Institutions,0.9439
52-Wk Range,['12.59 - 26.11']
Annual Dividend $,
Annual Dividend %,
Ask,25.94
Ask Size,300.0
B/A Ratio,0.6666666666666666
B/A Size,200x300
Beta,
Bid,25.81
Bid Size,200.0
Closing Price,25.88
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.17
Ex-dividend Date,No dividend
Historical Volatility,0.685
Last (size),2.0
Last (time),5:00p ET 11/25/22
Market Cap,2.1B
"P/E Ratio (TTM, GAAP)",
Prev Close,25.88
Shares Outstanding,81.6M
Short Interest,0.0454
Today's Open,
Volume,275917.0
Volume 10-day Avg,2155802.0
Volume Past Day,(Light)
