,LFG
Price/Earnings (TTM),
Price/Sales (TTM),10.49619
Price/Book (MRQ),23.92201
Price/Cash Flow (TTM),91.71907
5yr Low,9.62
5yr High,26.11
5yr Avg Return,0.3229333333333333
Short Int Current Month,3732612.0
Short Int Prev Month,4447106.0
Short Int Pct of Float,0.0453508
Days to Cover,1.28891
Float,76.89132
Shares Outstanding,120.6453
Institutions Holding Shares,217.0
% Held by Institutions,0.94388
FCF Growth 5yr,0.3318228752359116
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
