,NXST
Next Earnings Announcement,2023-02-21 00:00:00
Growth Analysts,5.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.47540338449429353
Growth 2yr High Est,-0.33521782507482545
Growth 2yr Consensus Est,-0.4053106047845595
Growth 5yr Low Est,-0.47540338449429353
Growth 5yr High Est,-0.33521782507482545
Growth 5yr Consensus Est,-0.4053106047845595
Growth 5yr Actual/Est,0.6998979117126142
Growth 3yr Historic,0.6778596358664364
