,NXST
Price/Earnings (TTM),6.99519
Price/Sales (TTM),1.32886
Price/Book (MRQ),2.29125
Price/Cash Flow (TTM),4.09971
5yr Low,43.37
5yr High,204.62
5yr Avg Return,0.19231666666666666
EPS Growth 5yr,0.45690440000000004
Revenue Growth 5yr,0.3333068
Dividend Growth 5yr,0.238732
Short Int Current Month,1633683.0
Short Int Prev Month,1761619.0
Short Int Pct of Float,0.0454822
Days to Cover,2.67641
Float,35.97563
Shares Outstanding,37.70844
Institutions Holding Shares,562.0
% Held by Institutions,0.9499679999999999
FCF Growth 5yr,0.16867674649058115
