,NXST
% Below High,0.14400000000000002
% Held by Institutions,0.95
52-Wk Range,['139.69 - 204.62']
Annual Dividend $,3.6
Annual Dividend %,0.0206
Ask,174.1
Ask Size,100.0
Ask close,187.09
B/A Ratio,1.0
B/A Size,100x100
Beta,1.4
Bid,166.0
Bid Size,100.0
Bid close,164.35
Change Since Close,-1.01| |(-0.58%)
Closing Price,175.15
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",25.04
Ex-dividend,2022-11-10 00:00:00
Ex-dividend Date,11/10/22
Historical Volatility,0.35700000000000004
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,174.14
Market Cap,6.6B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",7.0
Prev Close,175.15
Shares Outstanding,37.7M
Short Interest,0.0455
Today's Open,
Volume,3.0
Volume 10-day Avg,363604.0
Volume Past Day,(Light)
