,EL
Price/Earnings (TTM),36.64409
Price/Sales (TTM),4.54427
Price/Book (MRQ),14.23788
Price/Cash Flow (TTM),26.83839
5yr Low,121.47
5yr High,374.2
5yr Avg Return,0.15421666666666667
EPS Growth 5yr,0.1435995
Revenue Growth 5yr,0.08448399999999999
Dividend Growth 5yr,
Short Int Current Month,3431991.0
Short Int Prev Month,3012562.0
Short Int Pct of Float,0.014919700000000001
Days to Cover,1.04393
Float,230.0753
Shares Outstanding,356.8123
Institutions Holding Shares,1684.0
% Held by Institutions,0.890119
FCF Growth 5yr,-0.3100805025269149
