,EL
Next Earnings Announcement,2023-02-02 00:00:00
Growth Analysts,24.0
Growth 1yr Low Est,-0.29999999999999993
Growth 1yr High Est,-0.27402597402597406
Growth 1yr Consensus Est,-0.287012987012987
Growth 2yr Low Est,-0.11326530612244906
Growth 2yr High Est,0.1080675138814674
Growth 2yr Consensus Est,-0.002598896120490829
Growth 5yr Low Est,-0.025701774962858786
Growth 5yr High Est,0.1429111509865951
Growth 5yr Consensus Est,0.058604688011868154
Growth 5yr Actual/Est,0.18464877172230876
Growth 3yr Historic,0.168240347346452
