,GCMG
Next Earnings Announcement,2023-02-14 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.08695652173913038
Growth 1yr High Est,0.10416666666666674
Growth 1yr Consensus Est,0.09556159420289856
Growth 2yr Low Est,0.13347826086956516
Growth 2yr High Est,0.2218946540880503
Growth 2yr Consensus Est,0.17768645747880774
Growth 5yr Low Est,0.08898550724637677
Growth 5yr High Est,0.14792976939203353
Growth 5yr Consensus Est,0.11845763831920515
Growth 5yr Actual/Est,0.12037037037037042
Growth 3yr Historic,0.09523809523809527
