,GCMG
% Above Low,0.41369999999999996
% Held by Institutions,1.0388
52-Wk Range,['6.26 - 11.79']
Annual Dividend $,0.44
Annual Dividend %,0.049699999999999994
Ask,14.17
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,0.4
Bid,3.55
Bid Size,200.0
Closing Price,8.85
Day Change $,0.01
Day Change %,0.0011
Day High,9.0
Day Low,8.84
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",0.49
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.306
Last (size),560.0
Last (time),1:00p ET 11/25/22
Market Cap,373.8M
"P/E Ratio (TTM, GAAP)",18.23
Prev Close,8.84
Shares Outstanding,42.2M
Short Interest,0.0525
Today's Open,8.85
Volume,64028.0
Volume 10-day Avg,241994.0
Volume Past Day,(Light)
