,GCMG
Price/Earnings (TTM),18.23426
Price/Sales (TTM),3.07148
Price/Book (MRQ),
Price/Cash Flow (TTM),11.03914
5yr Low,6.26
5yr High,15.36
5yr Avg Return,-0.00995000000000001
Short Int Current Month,2203420.0
Short Int Prev Month,2517289.0
Short Int Pct of Float,0.052478800000000006
Days to Cover,7.72734
Float,41.97173
Shares Outstanding,186.4741
Institutions Holding Shares,118.0
% Held by Institutions,1.0387739999999999
FCF Growth 5yr,0.4043383972524741
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
