,GILD
Price/Earnings (TTM),32.61975
Price/Sales (TTM),3.98699
Price/Book (MRQ),5.13116
Price/Cash Flow (TTM),19.96514
5yr Low,56.56
5yr High,89.54
5yr Avg Return,0.03861666666666667
EPS Growth 5yr,-0.13079380000000002
Revenue Growth 5yr,-0.021181199999999997
Dividend Growth 5yr,0.0906869
Short Int Current Month,20726261.0
Short Int Prev Month,19071317.0
Short Int Pct of Float,0.016541999999999998
Days to Cover,2.24425
Float,1253.098
Shares Outstanding,1254.244
Institutions Holding Shares,2160.0
% Held by Institutions,0.801293
FCF Growth 5yr,0.3403221091220525
