,PKG
Next Earnings Announcement,2023-01-23 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,0.9130434782608696
Growth 1yr High Est,0.8909090909090909
Growth 1yr Consensus Est,0.9019762845849802
Growth 2yr Low Est,0.3306126482213439
Growth 2yr High Est,0.44807692307692304
Growth 2yr Consensus Est,0.38934478564913344
Growth 5yr Low Est,0.10346077437245207
Growth 5yr High Est,0.1699581506576325
Growth 5yr Consensus Est,0.1367094625150423
Growth 5yr Actual/Est,0.10920362030197353
Growth 3yr Historic,0.09503075740099964
