,PKG
% Above Low,0.18
% Held by Institutions,0.9361
52-Wk Range,['110.56 - 168.50']
Annual Dividend $,5.0
Annual Dividend %,0.037599999999999995
Ask,130.56
Ask Size,300.0
B/A Ratio,0.3333333333333333
B/A Size,100x300
Beta,0.9
Bid,130.42
Bid Size,100.0
Day Change $,-2.51
Day Change %,-0.0189
Day High,131.94
Day Low,130.46
Dividend Pay Date,2022-10-17 00:00:00
"EPS (TTM, GAAP)",10.98
Ex-dividend,2022-09-30 00:00:00
Ex-dividend Date,09/30/22
Historical Volatility,0.30100000000000005
Last (size),10.0
Last (time),10:53a ET 11/28/22
Market Cap,12.1B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",12.11
Prev Close,132.97
Price,130.46
Shares Outstanding,92.5M
Short Interest,0.0236
Today's Open,131.94
Volume Past Day,(Light)
