,PKG
Price/Earnings (TTM),12.10817
Price/Sales (TTM),1.44031
Price/Book (MRQ),3.10393
Price/Cash Flow (TTM),8.31878
5yr Low,71.05
5yr High,168.5
5yr Avg Return,0.04766666666666666
EPS Growth 5yr,0.1320266
Revenue Growth 5yr,0.0599094
Dividend Growth 5yr,0.118987
Short Int Current Month,2132078.0
Short Int Prev Month,2302991.0
Short Int Pct of Float,0.023584200000000003
Days to Cover,2.29551
Float,91.05258
Shares Outstanding,92.53448
Institutions Holding Shares,889.0
% Held by Institutions,0.936095
FCF Growth 5yr,0.4929149515209143
