,NKTX
% Above Low,0.14830000000000002
% Held by Institutions,0.9153
52-Wk Range,['7.55 - 20.35']
Annual Dividend $,
Annual Dividend %,
Ask,11.62
Ask Size,300.0
Ask close,10.69
B/A Ratio,1.3333333333333333
B/A Size,400x300
Beta,
Bid,8.5
Bid Size,400.0
Bid close,6.76
Change Since Close,0.00| |(0.00%)
Closing Price,8.67
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.68
Ex-dividend Date,No dividend
Historical Volatility,1.165
Last (size),82.0
Last (time),1:00p ET 11/25/22
Last Trade,8.67
Market Cap,423.2M
"P/E Ratio (TTM, GAAP)",
Prev Close,8.67
Shares Outstanding,48.8M
Short Interest,0.1276
Today's Open,
Volume,83.0
Volume 10-day Avg,589264.0
Volume Past Day,(Light)
