,NKTX
Price/Earnings (TTM),
Price/Sales (TTM),
Price/Book (MRQ),1.05986
Price/Cash Flow (TTM),
5yr Low,7.55
5yr High,79.16
5yr Avg Return,-0.355
Short Int Current Month,5784530.0
Short Int Prev Month,5994118.0
Short Int Pct of Float,0.1276384
Days to Cover,10.95916
Float,45.31967
Shares Outstanding,48.81372
Institutions Holding Shares,146.0
% Held by Institutions,0.915299
FCF Growth 5yr,0.2691816539751783
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
