,NVDA
% Above Low,0.5047
% Held by Institutions,0.6318
52-Wk Range,['108.13 - 334.12']
Annual Dividend $,0.16
Annual Dividend %,0.001
Ask,160.7
Ask Size,400.0
Ask close,173.48
B/A Ratio,0.5
B/A Size,200x400
Beta,1.7
Bid,160.5
Bid Size,200.0
Bid close,152.86
Change Since Close,-2.06| |(-1.27%)
Closing Price,162.7
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-22 00:00:00
"EPS (TTM, GAAP)",2.35
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.636
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,160.64
Market Cap,405.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",69.2
Prev Close,162.7
Shares Outstanding,2.5B
Short Interest,0.0151
Today's Open,
Volume,245437.0
Volume 10-day Avg,52321158.0
Volume Past Day,(Light)
