,NVDA
Price/Earnings (TTM),69.20401
Price/Sales (TTM),14.01113
Price/Book (MRQ),18.80854
Price/Cash Flow (TTM),54.20395
5yr Low,31.12
5yr High,346.47
5yr Avg Return,0.39695
EPS Growth 5yr,0.43069989999999997
Revenue Growth 5yr,0.3125022
Dividend Growth 5yr,0.0570308
Short Int Current Month,35679525.0
Short Int Prev Month,31451677.0
Short Int Pct of Float,0.0151328
Days to Cover,0.64333
Float,2358.385
Shares Outstanding,2460.0
Institutions Holding Shares,3635.0
% Held by Institutions,0.631835
FCF Growth 5yr,-0.0943697242841467
