,CSCO
% Above Low,0.25370000000000004
% Held by Institutions,0.7116
52-Wk Range,['38.61 - 64.29']
Annual Dividend $,1.52
Annual Dividend %,0.031400000000000004
Ask,48.4
Ask Size,100.0
B/A Ratio,10.0
B/A Size,1000x100
Beta,1.0
Bid,48.3
Bid Size,1000.0
Closing Price,48.4
Day Change $,-0.17
Day Change %,-0.0034999999999999996
Day High,49.05
Day Low,48.35
Dividend Pay Date,2022-10-26 00:00:00
"EPS (TTM, GAAP)",2.76
Ex-dividend,2022-10-04 00:00:00
Ex-dividend Date,10/04/22
Historical Volatility,0.302
Last (size),1.0
Last (time),12:59p ET 11/25/22
Market Cap,198.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",17.52
Prev Close,48.57
Shares Outstanding,4.1B
Short Interest,0.009399999999999999
Today's Open,48.75
Volume,8492585.0
Volume 10-day Avg,22018845.0
Volume Past Day,(Light)
