,CSCO
Price/Earnings (TTM),17.51706
Price/Sales (TTM),3.80256
Price/Book (MRQ),4.93812
Price/Cash Flow (TTM),14.90384
5yr Low,32.4
5yr High,64.29
5yr Avg Return,0.07011666666666667
EPS Growth 5yr,0.0816478
Revenue Growth 5yr,0.014379
Dividend Growth 5yr,0.0684655
Short Int Current Month,38699272.0
Short Int Prev Month,37838456.0
Short Int Pct of Float,0.0094287
Days to Cover,1.97341
Float,4104.558
Shares Outstanding,4108.103
Institutions Holding Shares,3547.0
% Held by Institutions,0.711618
FCF Growth 5yr,0.10320216531960014
