,MLNK
% Above Low,0.18730000000000002
% Held by Institutions,0.7419
52-Wk Range,['12.49 - 23.11']
Annual Dividend $,
Annual Dividend %,
Ask,
Ask Size,
B/A Ratio,
B/A Size,--
Beta,
Bid,12.07
Bid Size,
Closing Price,14.83
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.04
Ex-dividend Date,No dividend
Historical Volatility,0.483
Last (size),11.0
Last (time),5:00p ET 11/25/22
Market Cap,1.2B
"P/E Ratio (TTM, GAAP)",338.74
Prev Close,14.83
Shares Outstanding,80.9M
Short Interest,0.0691
Today's Open,
Volume,26915.0
Volume 10-day Avg,98550.0
Volume Past Day,(Light)
