,MLNK
Price/Earnings (TTM),338.7391
Price/Sales (TTM),4.26262
Price/Book (MRQ),2.06249
Price/Cash Flow (TTM),21.34793
5yr Low,12.49
5yr High,29.0
5yr Avg Return,-0.2505
Short Int Current Month,1370374.0
Short Int Prev Month,1401911.0
Short Int Pct of Float,0.06909
Days to Cover,7.82275
Float,64.87228
Shares Outstanding,80.91771
Institutions Holding Shares,103.0
% Held by Institutions,0.741856
FCF Growth 5yr,0.03110216263523713
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
